"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","HHDI","GROSSADJ","USD_CAP","A","1994",15900.5629261992,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1995",16411.7079158791,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1996",16807.723467125,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1997",17137.7396519228,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1998",17299.3514991598,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1999",17572.2515315372,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2000",18596.0510986774,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2001",18750.196933365,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2002",19826.594948068,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2003",20508.5700391189,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2004",21269.2137714198,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2005",22381.8369545792,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2006",23043.9957013297,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2007",23867.6825931107,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2008",24274.9001463572,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2009",24593.0070390186,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2010",25609.2432085794,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2011",26568.3387464214,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2012",27654.5552170529,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2013",28882.383523282,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2014",28459.9104258193,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1995",16224.0306536629,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1996",16902.4777384271,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1997",17904.0297979457,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1998",18812.675255301,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1999",19829.2860952952,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2000",22067.0311599462,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2001",23578.2797494346,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2002",25356.2869408383,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2003",24330.7036207843,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2004",25128.426590289,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2005",25310.6116335328,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2006",27145.3167319236,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2007",28597.3438425612,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2008",29618.9309903184,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2009",29471.1251554926,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2010",28908.9392975033,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2011",29321.0824981007,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2012",29398.851236419,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2013",29483.7440083324,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2014",29581.208767305,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1995",9480.28389412305,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1996",10256.674793529,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1997",10676.3223195503,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1998",10611.91696916,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1999",11012.2280045625,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2000",12004.0078715279,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2001",12962.9031377467,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2002",13744.9714181895,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2003",14317.1502231559,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2004",15020.5706923734,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2005",15437.1292829146,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2006",16383.9179211416,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2007",17392.0290989599,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2008",17181.5981637045,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2009",17961.9716235414,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2010",18310.7965224016,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2011",18929.7631006514,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2012",19208.3027492678,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2013",19897.4098998637,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2014",20295.9465143542,
"EU","HHDI","GROSSADJ","USD_CAP","A","1999",16200.8563171999,
"EU","HHDI","GROSSADJ","USD_CAP","A","2000",17721.2100154745,
"EU","HHDI","GROSSADJ","USD_CAP","A","2001",18882.7122246091,
"EU","HHDI","GROSSADJ","USD_CAP","A","2002",20098.5122102299,
"EU","HHDI","GROSSADJ","USD_CAP","A","2003",20314.8722335643,
"EU","HHDI","GROSSADJ","USD_CAP","A","2004",21149.9001695668,
"EU","HHDI","GROSSADJ","USD_CAP","A","2005",21687.5091562193,
"EU","HHDI","GROSSADJ","USD_CAP","A","2006",22760.6325221429,
"EU","HHDI","GROSSADJ","USD_CAP","A","2007",23733.6868688094,
"EU","HHDI","GROSSADJ","USD_CAP","A","2008",24771.7511946976,
"EU","HHDI","GROSSADJ","USD_CAP","A","2009",24889.0429900609,
"EU","HHDI","GROSSADJ","USD_CAP","A","2010",25364.6963119239,
"EU","HHDI","GROSSADJ","USD_CAP","A","2011",25778.1913480391,
"EU","HHDI","GROSSADJ","USD_CAP","A","2012",26311.8395198533,
"EU","HHDI","GROSSADJ","USD_CAP","A","2013",26599.2137865602,
"EU","HHDI","GROSSADJ","USD_CAP","A","2014",26644.9061664517,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1995",18674.3480622883,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1996",19280.0556185645,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1997",19511.3136713025,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1998",19766.7497946874,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1999",20621.2592330425,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2000",21759.5294495382,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2001",22760.7014059316,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2002",23759.5986787309,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2003",24643.3063195181,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2004",25430.9945690796,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2005",26668.2032923166,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2006",27715.7997902268,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2007",28706.2853348013,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2008",29982.8450422372,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2009",29677.5277258622,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2010",31530.1932537241,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2011",32742.1118106941,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2012",33845.8399330651,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2013",34286.2419738498,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2014",34887.770541281,
"EA","HHDI","GROSSADJ","USD_CAP","A","1999",18249.1775718954,
"EA","HHDI","GROSSADJ","USD_CAP","A","2000",19855.046476501,
"EA","HHDI","GROSSADJ","USD_CAP","A","2001",21092.5926849473,
"EA","HHDI","GROSSADJ","USD_CAP","A","2002",22333.975237877,
"EA","HHDI","GROSSADJ","USD_CAP","A","2003",22435.5766236211,
"EA","HHDI","GROSSADJ","USD_CAP","A","2004",23182.8986165747,
"EA","HHDI","GROSSADJ","USD_CAP","A","2005",23799.3772856817,
"EA","HHDI","GROSSADJ","USD_CAP","A","2006",24910.8647920201,
"EA","HHDI","GROSSADJ","USD_CAP","A","2007",25917.2702890934,
"EA","HHDI","GROSSADJ","USD_CAP","A","2008",27072.8551881741,
"EA","HHDI","GROSSADJ","USD_CAP","A","2009",26882.5071510498,
"EA","HHDI","GROSSADJ","USD_CAP","A","2010",27607.1593622251,
"EA","HHDI","GROSSADJ","USD_CAP","A","2011",28013.8590524298,
"EA","HHDI","GROSSADJ","USD_CAP","A","2012",28359.301581064,
"EA","HHDI","GROSSADJ","USD_CAP","A","2013",28730.9614509886,
"EA","HHDI","GROSSADJ","USD_CAP","A","2014",28841.5877316839,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2006",21989.0537626772,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2007",23097.0659562171,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2008",24848.9029187424,
